,ChampionshipWinner,Season,Championship,Country,CoachWinner 
2311,SL Benfica,1970/1971,LigaNOS_1970/1971,Portugal,Jimmy Hagan
2312,Sporting CP,1969/1970,LigaNOS_1969/1970,Portugal,-
2313,SL Benfica,1968/1969,LigaNOS_1968/1969,Portugal,Otto Glória
2314,SL Benfica,1967/1968,LigaNOS_1967/1968,Portugal,Otto Glória
2315,SL Benfica,1966/1967,LigaNOS_1966/1967,Portugal,-
2316,Sporting CP,1965/1966,LigaNOS_1965/1966,Portugal,Otto Glória
2317,SL Benfica,1964/1965,LigaNOS_1964/1965,Portugal,-
2318,SL Benfica,1963/1964,LigaNOS_1963/1964,Portugal,-
2319,SL Benfica,1962/1963,LigaNOS_1962/1963,Portugal,-
2320,Sporting CP,1961/1962,LigaNOS_1961/1962,Portugal,Otto Glória
2321,SL Benfica,1960/1961,LigaNOS_1960/1961,Portugal,Béla Guttmann
2322,SL Benfica,1959/1960,LigaNOS_1959/1960,Portugal,Béla Guttmann
2323,FC Porto,1958/1959,LigaNOS_1958/1959,Portugal,Béla Guttmann
2324,Sporting CP,1957/1958,LigaNOS_1957/1958,Portugal,-
2325,SL Benfica,1956/1957,LigaNOS_1956/1957,Portugal,Otto Glória
2326,FC Porto,1955/1956,LigaNOS_1955/1956,Portugal,-
2327,SL Benfica,1954/1955,LigaNOS_1954/1955,Portugal,Otto Glória
2328,Sporting CP,1953/1954,LigaNOS_1953/1954,Portugal,-
2329,Sporting CP,1952/1953,LigaNOS_1952/1953,Portugal,-
2330,Sporting CP,1951/1952,LigaNOS_1951/1952,Portugal,-
2331,Sporting CP,1950/1951,LigaNOS_1950/1951,Portugal,-
2332,SL Benfica,1949/1950,LigaNOS_1949/1950,Portugal,-
2333,Sporting CP,1948/1949,LigaNOS_1948/1949,Portugal,-
2334,Sporting CP,1947/1948,LigaNOS_1947/1948,Portugal,-
2335,Sporting CP,1946/1947,LigaNOS_1946/1947,Portugal,-
2336,CF Os Belenenses,1945/1946,LigaNOS_1945/1946,Portugal,-
2337,SL Benfica,1944/1945,LigaNOS_1944/1945,Portugal,-
2338,Sporting CP,1943/1944,LigaNOS_1943/1944,Portugal,-
2339,SL Benfica,1942/1943,LigaNOS_1942/1943,Portugal,-
2340,SL Benfica,1941/1942,LigaNOS_1941/1942,Portugal,-
2341,Sporting CP,1940/1941,LigaNOS_1940/1941,Portugal,-
2342,FC Porto,1939/1940,LigaNOS_1939/1940,Portugal,-
2343,FC Porto,1938/1939,LigaNOS_1938/1939,Portugal,-
2344,SL Benfica,1937/1938,LigaNOS_1937/1938,Portugal,Lippo Hertzka
2345,SL Benfica,1936/1937,LigaNOS_1936/1937,Portugal,Lippo Hertzka
2346,SL Benfica,1935/1936,LigaNOS_1935/1936,Portugal,Lippo Hertzka
2347,FC Porto,1934/1935,LigaNOS_1934/1935,Portugal,-
2348,FC Paços de Ferreira,2018/2019,LigaPro_2018/2019,Portugal,Vítor Oliveira
2349,CD Nacional,2017/2018,LigaPro_2017/2018,Portugal,Costinha
2350,Portimonense SC,2016/2017,LigaPro_2016/2017,Portugal,Vítor Oliveira
2351,FC Porto B,2015/2016,LigaPro_2015/2016,Portugal,Luís Castro
2352,CD Tondela,2014/2015,LigaPro_2014/2015,Portugal,Quim Machado
2353,Moreirense FC,2013/2014,LigaPro_2013/2014,Portugal,Vítor Oliveira
2354,Belenenses SAD,2012/2013,LigaPro_2012/2013,Portugal,Mitchell van der Gaag
2355,Estoril Praia,2011/2012,LigaPro_2011/2012,Portugal,Marco Silva
2356,Gil Vicente FC,2010/2011,LigaPro_2010/2011,Portugal,Paulo Alves
2357,CD Trofense,2007/2008,LigaPro_2007/2008,Portugal,-
2358,Leixões SC,2006/2007,LigaPro_2006/2007,Portugal,Vítor Oliveira
2359,FC Paços de Ferreira,2004/2005,LigaPro_2004/2005,Portugal,José Mota
2360,Moreirense FC,2001/2002,LigaPro_2001/2002,Portugal,Manuel Machado
2361,CD Santa Clara,2000/2001,LigaPro_2000/2001,Portugal,Manuel Fernandes
2362,FC Paços de Ferreira,1999/1900,LigaPro_1999/1900,Portugal,José Mota
2363,Gil Vicente FC,1998/1999,LigaPro_1998/1999,Portugal,-
2364,Leça FC,1994/1995,LigaPro_1994/1995,Portugal,-
2365,CD Estrela,1992/1993,LigaPro_1992/1993,Portugal,João Alves
2366,FC Paços de Ferreira,1990/1991,LigaPro_1990/1991,Portugal,Vítor Oliveira
2367,CD Estrela,1987/1988,LigaPro_1987/1988,Portugal,-
2368,Desportivo Aves,1984/1985,LigaPro_1984/1985,Portugal,-
2369,SC Farense,1982/1983,LigaPro_1982/1983,Portugal,-
2370,Lusitano Évora GC,1951/1952,LigaPro_1951/1952,Portugal,-
2371,Leixões SC,1937/1938,LigaPro_1937/1938,Portugal,-
2372,CFR Cluj,2018/2019,Liga1_2018/2019,Romania,Dan Petrescu
2373,CFR Cluj,2017/2018,Liga1_2017/2018,Romania,Dan Petrescu
2374,FC Viitorul,2016/2017,Liga1_2016/2017,Romania,Gheorghe Hagi
2375,Astra Giurgiu,2015/2016,Liga1_2015/2016,Romania,Marius Sumudica
2376,Steaua Bukarest,2014/2015,Liga1_2014/2015,Romania,Constantin Galca
2377,Steaua Bukarest,2013/2014,Liga1_2013/2014,Romania,Laurentiu Reghecampf
2378,Steaua Bukarest,2012/2013,Liga1_2012/2013,Romania,Laurentiu Reghecampf
2379,CFR Cluj,2011/2012,Liga1_2011/2012,Romania,Ioan Andone
2380,Otelul Galati,2010/2011,Liga1_2010/2011,Romania,Dorinel Munteanu
2381,CFR Cluj,2009/2010,Liga1_2009/2010,Romania,Iuliu Muresan
2382,Unirea Urziceni,2008/2009,Liga1_2008/2009,Romania,Dan Petrescu
2383,CFR Cluj,2007/2008,Liga1_2007/2008,Romania,Ioan Andone
2384,Dinamo Bukarest,2006/2007,Liga1_2006/2007,Romania,Mircea Rednic
2385,Steaua Bukarest,2005/2006,Liga1_2005/2006,Romania,Cosmin Olaroiu
2386,Steaua Bukarest,2004/2005,Liga1_2004/2005,Romania,-
2387,Dinamo Bukarest,2003/2004,Liga1_2003/2004,Romania,Ioan Andone
2388,FC Rapid 1923,2002/2003,Liga1_2002/2003,Romania,Mircea Rednic
2389,Dinamo Bukarest,2001/2002,Liga1_2001/2002,Romania,-
2390,CSA Steaua,2000/2001,Liga1_2000/2001,Romania,Victor Piturca
2391,Steaua Bukarest,2000/2001,Liga1_2000/2001,Romania,Victor Piturca
2392,Dinamo Bukarest,1999/1900,Liga1_1999/1900,Romania,-
2393,FC Rapid 1923,1998/1999,Liga1_1998/1999,Romania,Mircea Lucescu
2394,CSA Steaua,1997/1998,Liga1_1997/1998,Romania,Mihai Stoichita
2395,Steaua Bukarest,1997/1998,Liga1_1997/1998,Romania,Mihai Stoichita
2396,CSA Steaua,1996/1997,Liga1_1996/1997,Romania,-
2397,Steaua Bukarest,1996/1997,Liga1_1996/1997,Romania,-
2398,CSA Steaua,1995/1996,Liga1_1995/1996,Romania,-
2399,Steaua Bukarest,1995/1996,Liga1_1995/1996,Romania,-
2400,CSA Steaua,1994/1995,Liga1_1994/1995,Romania,-
2401,Steaua Bukarest,1994/1995,Liga1_1994/1995,Romania,-
2402,CSA Steaua,1993/1994,Liga1_1993/1994,Romania,-
2403,Steaua Bukarest,1993/1994,Liga1_1993/1994,Romania,-
2404,CSA Steaua,1992/1993,Liga1_1992/1993,Romania,Anghel Iordanescu
2405,Steaua Bukarest,1992/1993,Liga1_1992/1993,Romania,Anghel Iordanescu
2406,Dinamo Bukarest,1991/1992,Liga1_1991/1992,Romania,-
2407,CS Universitatea Craiova,1990/1991,Liga1_1990/1991,Romania,Sorin Cartu
2408,Dinamo Bukarest,1989/1990,Liga1_1989/1990,Romania,Mircea Lucescu
2409,CSA Steaua,1988/1989,Liga1_1988/1989,Romania,Anghel Iordanescu
2410,Steaua Bukarest,1988/1989,Liga1_1988/1989,Romania,Anghel Iordanescu
2411,CSA Steaua,1987/1988,Liga1_1987/1988,Romania,Anghel Iordanescu
2412,Steaua Bukarest,1987/1988,Liga1_1987/1988,Romania,Anghel Iordanescu
2413,CSA Steaua,1986/1987,Liga1_1986/1987,Romania,Anghel Iordanescu
2414,Steaua Bukarest,1986/1987,Liga1_1986/1987,Romania,Anghel Iordanescu
2415,CSA Steaua,1985/1986,Liga1_1985/1986,Romania,-
2416,Steaua Bukarest,1985/1986,Liga1_1985/1986,Romania,-
2417,CSA Steaua,1984/1985,Liga1_1984/1985,Romania,-
2418,Steaua Bukarest,1984/1985,Liga1_1984/1985,Romania,-
2419,Dinamo Bukarest,1983/1984,Liga1_1983/1984,Romania,-
2420,Dinamo Bukarest,1982/1983,Liga1_1982/1983,Romania,-
2421,Dinamo Bukarest,1981/1982,Liga1_1981/1982,Romania,-
2422,CS Universitatea Craiova,1980/1981,Liga1_1980/1981,Romania,-
2423,CS Universitatea Craiova,1979/1980,Liga1_1979/1980,Romania,Mircea Lucescu
2424,FC Arges Pitesti,1978/1979,Liga1_1978/1979,Romania,-
2425,SCM Arges Pitesti,1978/1979,Liga1_1978/1979,Romania,-
2426,CSA Steaua,1977/1978,Liga1_1977/1978,Romania,-
2427,Steaua Bukarest,1977/1978,Liga1_1977/1978,Romania,-
2428,Dinamo Bukarest,1976/1977,Liga1_1976/1977,Romania,-
2429,CSA Steaua,1975/1976,Liga1_1975/1976,Romania,Emerich Jenei
2430,Steaua Bukarest,1975/1976,Liga1_1975/1976,Romania,Emerich Jenei
2431,Dinamo Bukarest,1974/1975,Liga1_1974/1975,Romania,-
2432,CS Universitatea Craiova,1973/1974,Liga1_1973/1974,Romania,Constantin Cernaianu
2433,Dinamo Bukarest,1972/1973,Liga1_1972/1973,Romania,-
2434,FC Arges Pitesti,1971/1972,Liga1_1971/1972,Romania,-
2435,SCM Arges Pitesti,1971/1972,Liga1_1971/1972,Romania,-
2436,Dinamo Bukarest,1970/1971,Liga1_1970/1971,Romania,-
2437,UTA Arad,1969/1970,Liga1_1969/1970,Romania,-
2438,UTA Arad,1968/1969,Liga1_1968/1969,Romania,-
2439,CSA Steaua,1967/1968,Liga1_1967/1968,Romania,-
2440,Steaua Bukarest,1967/1968,Liga1_1967/1968,Romania,-
2441,FC Rapid 1923,1966/1967,Liga1_1966/1967,Romania,-
2442,Petrolul Ploiesti,1965/1966,Liga1_1965/1966,Romania,Constantin Cernaianu
2443,Dinamo Bukarest,1964/1965,Liga1_1964/1965,Romania,Angelo Niculescu
2444,Dinamo Bukarest,1963/1964,Liga1_1963/1964,Romania,-
2445,Dinamo Bukarest,1962/1963,Liga1_1962/1963,Romania,-
2446,Dinamo Bukarest,1961/1962,Liga1_1961/1962,Romania,-
2447,CSA Steaua,1960/1961,Liga1_1960/1961,Romania,-
2448,CCA Bukarest,1960/1961,Liga1_1960/1961,Romania,-
2449,CSA Steaua,1959/1960,Liga1_1959/1960,Romania,-
2450,CCA Bukarest,1959/1960,Liga1_1959/1960,Romania,-
2451,Petrolul Ploiesti,1958/1959,Liga1_1958/1959,Romania,-
2452,Petrolul Ploiesti,1957/1958,Liga1_1957/1958,Romania,-
2453,CSA Steaua,1955/1956,Liga1_1955/1956,Romania,-
2454,CCA Bukarest,1955/1956,Liga1_1955/1956,Romania,-
2455,Dinamo Bukarest,1954/1955,Liga1_1954/1955,Romania,Angelo Niculescu
2456,UTA Arad,1953/1954,Liga1_1953/1954,Romania,-
2457,CSA Steaua,1952/1953,Liga1_1952/1953,Romania,-
2458,CCA Bukarest,1952/1953,Liga1_1952/1953,Romania,-
2459,CSA Steaua,1951/1952,Liga1_1951/1952,Romania,-
2460,CCA Bukarest,1951/1952,Liga1_1951/1952,Romania,-
2461,CSA Steaua,1950/1951,Liga1_1950/1951,Romania,-
2462,CCA Bukarest,1950/1951,Liga1_1950/1951,Romania,-
2463,UTA Arad,1949/1950,Liga1_1949/1950,Romania,-
2464,Club Atletic Oradea,1948/1949,Liga1_1948/1949,Romania,-
2465,UTA Arad,1947/1948,Liga1_1947/1948,Romania,-
2466,UTA Arad,1946/1947,Liga1_1946/1947,Romania,-
2467,Unirea Tricolor Bucuresti,1940/1941,Liga1_1940/1941,Romania,-
2468,Venus Bukarest,1939/1940,Liga1_1939/1940,Romania,-
2469,Venus Bukarest,1938/1939,Liga1_1938/1939,Romania,-
2470,Ripensia Timisoara,1937/1938,Liga1_1937/1938,Romania,-
2471,Venus Bukarest,1936/1937,Liga1_1936/1937,Romania,-
2472,Ripensia Timisoara,1935/1936,Liga1_1935/1936,Romania,-
2473,Ripensia Timisoara,1934/1935,Liga1_1934/1935,Romania,-
2474,Venus Bukarest,1933/1934,Liga1_1933/1934,Romania,-
2475,Ripensia Timisoara,1932/1933,Liga1_1932/1933,Romania,-
2476,Venus Bukarest,1931/1932,Liga1_1931/1932,Romania,-
2477,CSM Resita,1930/1931,Liga1_1930/1931,Romania,-
2478,Petrolul Ploiesti,1929/1930,Liga1_1929/1930,Romania,-
2479,Venus Bukarest,1928/1929,Liga1_1928/1929,Romania,-
2480,Coltea Brasov,1927/1928,Liga1_1927/1928,Romania,-
2481,Chinezul Timisoara (diss.),1926/1927,Liga1_1926/1927,Romania,-
2482,Chinezul Timisoara (diss.),1925/1926,Liga1_1925/1926,Romania,-
2483,Chinezul Timisoara (diss.),1924/1925,Liga1_1924/1925,Romania,-
2484,Chinezul Timisoara (diss.),1923/1924,Liga1_1923/1924,Romania,-
2485,Chinezul Timisoara (diss.),1922/1923,Liga1_1922/1923,Romania,-
2486,Chinezul Timisoara (diss.),1921/1922,Liga1_1921/1922,Romania,-
2487,Venus Bukarest,1920/1921,Liga1_1920/1921,Romania,-
2488,Venus Bukarest,1919/1920,Liga1_1919/1920,Romania,-
2489,Prahova United Ploiesti,1915/1916,Liga1_1915/1916,Romania,-
2490,FC Romano-Americana Bukarest,1914/1915,Liga1_1914/1915,Romania,-
2491,Colentina Bukarest,1913/1914,Liga1_1913/1914,Romania,-
2492,Colentina Bukarest,1912/1913,Liga1_1912/1913,Romania,-
2493,Prahova United Ploiesti,1911/1912,Liga1_1911/1912,Romania,-
2494,Olympia Bukarest,1910/1911,Liga1_1910/1911,Romania,-
2495,Olympia Bukarest,1909/1910,Liga1_1909/1910,Romania,-
2496,Zenit St. Petersburg,2018/2019,PremierLigaRussia_2018/2019,Russia,Sergey Semak
2497,Lokomotiv Moscow,2017/2018,PremierLigaRussia_2017/2018,Russia,Yuri Semin
2498,Spartak Moscow,2016/2017,PremierLigaRussia_2016/2017,Russia,Massimo Carrera
2499,CSKA Moscow,2015/2016,PremierLigaRussia_2015/2016,Russia,Leonid Slutski
2500,Zenit St. Petersburg,2014/2015,PremierLigaRussia_2014/2015,Russia,André Villas-Boas
2501,CSKA Moscow,2013/2014,PremierLigaRussia_2013/2014,Russia,Leonid Slutski
2502,CSKA Moscow,2012/2013,PremierLigaRussia_2012/2013,Russia,Leonid Slutski
2503,Zenit St. Petersburg,2011/2012,PremierLigaRussia_2011/2012,Russia,Luciano Spalletti
2504,Zenit St. Petersburg,2009/2010,PremierLigaRussia_2009/2010,Russia,Luciano Spalletti
2505,Rubin Kazan,2008/2009,PremierLigaRussia_2008/2009,Russia,Kurban Berdyev
2506,Rubin Kazan,2007/2008,PremierLigaRussia_2007/2008,Russia,Kurban Berdyev
2507,Zenit St. Petersburg,2006/2007,PremierLigaRussia_2006/2007,Russia,Dick Advocaat
2508,CSKA Moscow,2005/2006,PremierLigaRussia_2005/2006,Russia,Valeri Gazzaev
2509,CSKA Moscow,2004/2005,PremierLigaRussia_2004/2005,Russia,Valeri Gazzaev
2510,Lokomotiv Moscow,2003/2004,PremierLigaRussia_2003/2004,Russia,Yuri Semin
2511,CSKA Moscow,2002/2003,PremierLigaRussia_2002/2003,Russia,Valeri Gazzaev
2512,Lokomotiv Moscow,2001/2002,PremierLigaRussia_2001/2002,Russia,Yuri Semin
2513,Spartak Moscow,2000/2001,PremierLigaRussia_2000/2001,Russia,Oleg Romantsev
2514,Spartak Moscow,1999/1900,PremierLigaRussia_1999/1900,Russia,Oleg Romantsev
2515,Spartak Moscow,1998/1999,PremierLigaRussia_1998/1999,Russia,Oleg Romantsev
2516,Spartak Moscow,1997/1998,PremierLigaRussia_1997/1998,Russia,Oleg Romantsev
2517,Spartak Moscow,1996/1997,PremierLigaRussia_1996/1997,Russia,Oleg Romantsev
2518,Spartak Moscow,1995/1996,PremierLigaRussia_1995/1996,Russia,Georgi Yartsev
2519,Spartak Vladikavkaz,1994/1995,PremierLigaRussia_1994/1995,Russia,Valeri Gazzaev
2520,Spartak Moscow,1993/1994,PremierLigaRussia_1993/1994,Russia,Oleg Romantsev
2521,Spartak Moscow,1992/1993,PremierLigaRussia_1992/1993,Russia,Oleg Romantsev
2522,Spartak Moscow,1991/1992,PremierLigaRussia_1991/1992,Russia,Oleg Romantsev
2523,Celtic FC,2018/2019,ScottishPremiership_2018/2019,Scotland,Neil Lennon
2524,Celtic FC,2017/2018,ScottishPremiership_2017/2018,Scotland,Brendan Rodgers
2525,Celtic FC,2016/2017,ScottishPremiership_2016/2017,Scotland,Brendan Rodgers
2526,Celtic FC,2015/2016,ScottishPremiership_2015/2016,Scotland,Ronny Deila
2527,Celtic FC,2014/2015,ScottishPremiership_2014/2015,Scotland,Ronny Deila
2528,Celtic FC,2013/2014,ScottishPremiership_2013/2014,Scotland,Neil Lennon
2529,Celtic FC,2012/2013,ScottishPremiership_2012/2013,Scotland,Neil Lennon
2530,Celtic FC,2011/2012,ScottishPremiership_2011/2012,Scotland,Neil Lennon
2531,Rangers FC,2010/2011,ScottishPremiership_2010/2011,Scotland,Walter Smith
2532,Rangers FC,2009/2010,ScottishPremiership_2009/2010,Scotland,Walter Smith
2533,Rangers FC,2008/2009,ScottishPremiership_2008/2009,Scotland,Walter Smith
2534,Celtic FC,2007/2008,ScottishPremiership_2007/2008,Scotland,Gordon Strachan
2535,Celtic FC,2006/2007,ScottishPremiership_2006/2007,Scotland,Gordon Strachan
2536,Celtic FC,2005/2006,ScottishPremiership_2005/2006,Scotland,Gordon Strachan
2537,Rangers FC,2004/2005,ScottishPremiership_2004/2005,Scotland,Alex McLeish
2538,Celtic FC,2003/2004,ScottishPremiership_2003/2004,Scotland,Martin O'Neill
2539,Rangers FC,2002/2003,ScottishPremiership_2002/2003,Scotland,Alex McLeish
2540,Celtic FC,2001/2002,ScottishPremiership_2001/2002,Scotland,Martin O'Neill
2541,Celtic FC,2000/2001,ScottishPremiership_2000/2001,Scotland,Martin O'Neill
2542,Rangers FC,1999/1900,ScottishPremiership_1999/1900,Scotland,Dick Advocaat
2543,Rangers FC,1998/1999,ScottishPremiership_1998/1999,Scotland,Dick Advocaat
2544,Celtic FC,1997/1998,ScottishPremiership_1997/1998,Scotland,-
2545,Rangers FC,1996/1997,ScottishPremiership_1996/1997,Scotland,Walter Smith
2546,Rangers FC,1995/1996,ScottishPremiership_1995/1996,Scotland,Walter Smith
2547,Rangers FC,1994/1995,ScottishPremiership_1994/1995,Scotland,Walter Smith
2548,Rangers FC,1993/1994,ScottishPremiership_1993/1994,Scotland,Walter Smith
2549,Rangers FC,1992/1993,ScottishPremiership_1992/1993,Scotland,Walter Smith
2550,Rangers FC,1991/1992,ScottishPremiership_1991/1992,Scotland,Walter Smith
2551,Rangers FC,1990/1991,ScottishPremiership_1990/1991,Scotland,Walter Smith
2552,Rangers FC,1989/1990,ScottishPremiership_1989/1990,Scotland,Graeme Souness
2553,Rangers FC,1988/1989,ScottishPremiership_1988/1989,Scotland,Graeme Souness
2554,Celtic FC,1987/1988,ScottishPremiership_1987/1988,Scotland,Billy McNeill
2555,Rangers FC,1986/1987,ScottishPremiership_1986/1987,Scotland,Graeme Souness
2556,Celtic FC,1985/1986,ScottishPremiership_1985/1986,Scotland,-
2557,Aberdeen FC,1984/1985,ScottishPremiership_1984/1985,Scotland,Sir Alex Ferguson
2558,Aberdeen FC,1983/1984,ScottishPremiership_1983/1984,Scotland,Sir Alex Ferguson
2559,Dundee United FC,1982/1983,ScottishPremiership_1982/1983,Scotland,-
2560,Celtic FC,1981/1982,ScottishPremiership_1981/1982,Scotland,Billy McNeill
2561,Celtic FC,1980/1981,ScottishPremiership_1980/1981,Scotland,Billy McNeill
2562,Aberdeen FC,1979/1980,ScottishPremiership_1979/1980,Scotland,Sir Alex Ferguson
2563,Celtic FC,1978/1979,ScottishPremiership_1978/1979,Scotland,Billy McNeill
2564,Rangers FC,1977/1978,ScottishPremiership_1977/1978,Scotland,Jock Wallace Jr.
2565,Celtic FC,1976/1977,ScottishPremiership_1976/1977,Scotland,Jock Stein
2566,Rangers FC,1975/1976,ScottishPremiership_1975/1976,Scotland,Jock Wallace Jr.
2567,Rangers FC,1974/1975,ScottishPremiership_1974/1975,Scotland,Jock Wallace Jr.
2568,Celtic FC,1973/1974,ScottishPremiership_1973/1974,Scotland,Jock Stein
2569,Celtic FC,1972/1973,ScottishPremiership_1972/1973,Scotland,Jock Stein
2570,Celtic FC,1971/1972,ScottishPremiership_1971/1972,Scotland,Jock Stein
2571,Celtic FC,1970/1971,ScottishPremiership_1970/1971,Scotland,Jock Stein
2572,Celtic FC,1969/1970,ScottishPremiership_1969/1970,Scotland,Jock Stein
2573,Celtic FC,1968/1969,ScottishPremiership_1968/1969,Scotland,Jock Stein
2574,Celtic FC,1967/1968,ScottishPremiership_1967/1968,Scotland,Jock Stein
2575,Celtic FC,1966/1967,ScottishPremiership_1966/1967,Scotland,Jock Stein
2576,Celtic FC,1965/1966,ScottishPremiership_1965/1966,Scotland,Jock Stein
2577,Kilmarnock FC,1964/1965,ScottishPremiership_1964/1965,Scotland,-
2578,Rangers FC,1963/1964,ScottishPremiership_1963/1964,Scotland,Scot Symon
2579,Rangers FC,1962/1963,ScottishPremiership_1962/1963,Scotland,Scot Symon
2580,Dundee FC,1961/1962,ScottishPremiership_1961/1962,Scotland,-
2581,Rangers FC,1960/1961,ScottishPremiership_1960/1961,Scotland,Scot Symon
2582,Heart of Midlothian FC,1959/1960,ScottishPremiership_1959/1960,Scotland,-
2583,Rangers FC,1958/1959,ScottishPremiership_1958/1959,Scotland,Scot Symon
2584,Heart of Midlothian FC,1957/1958,ScottishPremiership_1957/1958,Scotland,-
2585,Rangers FC,1956/1957,ScottishPremiership_1956/1957,Scotland,Scot Symon
2586,Rangers FC,1955/1956,ScottishPremiership_1955/1956,Scotland,Scot Symon
2587,Aberdeen FC,1954/1955,ScottishPremiership_1954/1955,Scotland,-
2588,Celtic FC,1953/1954,ScottishPremiership_1953/1954,Scotland,-
2589,Rangers FC,1952/1953,ScottishPremiership_1952/1953,Scotland,-
2590,Hibernian FC,1951/1952,ScottishPremiership_1951/1952,Scotland,-
2591,Hibernian FC,1950/1951,ScottishPremiership_1950/1951,Scotland,-
2592,Rangers FC,1949/1950,ScottishPremiership_1949/1950,Scotland,-
2593,Rangers FC,1948/1949,ScottishPremiership_1948/1949,Scotland,-
2594,Hibernian FC,1947/1948,ScottishPremiership_1947/1948,Scotland,-
2595,Rangers FC,1946/1947,ScottishPremiership_1946/1947,Scotland,-
2596,Rangers FC,1938/1939,ScottishPremiership_1938/1939,Scotland,-
2597,Celtic FC,1937/1938,ScottishPremiership_1937/1938,Scotland,-
2598,Rangers FC,1936/1937,ScottishPremiership_1936/1937,Scotland,-
2599,Celtic FC,1935/1936,ScottishPremiership_1935/1936,Scotland,-
2600,Rangers FC,1934/1935,ScottishPremiership_1934/1935,Scotland,-
2601,Rangers FC,1933/1934,ScottishPremiership_1933/1934,Scotland,-
2602,Rangers FC,1932/1933,ScottishPremiership_1932/1933,Scotland,-
2603,Motherwell FC,1931/1932,ScottishPremiership_1931/1932,Scotland,-
2604,Rangers FC,1930/1931,ScottishPremiership_1930/1931,Scotland,-
2605,Rangers FC,1929/1930,ScottishPremiership_1929/1930,Scotland,-
2606,Rangers FC,1928/1929,ScottishPremiership_1928/1929,Scotland,-
2607,Rangers FC,1927/1928,ScottishPremiership_1927/1928,Scotland,-
2608,Rangers FC,1926/1927,ScottishPremiership_1926/1927,Scotland,-
2609,Celtic FC,1925/1926,ScottishPremiership_1925/1926,Scotland,-
2610,Rangers FC,1924/1925,ScottishPremiership_1924/1925,Scotland,-
2611,Rangers FC,1923/1924,ScottishPremiership_1923/1924,Scotland,-
2612,Rangers FC,1922/1923,ScottishPremiership_1922/1923,Scotland,-
2613,Celtic FC,1921/1922,ScottishPremiership_1921/1922,Scotland,-
2614,Rangers FC,1920/1921,ScottishPremiership_1920/1921,Scotland,-
2615,Rangers FC,1919/1920,ScottishPremiership_1919/1920,Scotland,-
2616,Celtic FC,1918/1919,ScottishPremiership_1918/1919,Scotland,-
2617,Rangers FC,1917/1918,ScottishPremiership_1917/1918,Scotland,-
2618,Celtic FC,1916/1917,ScottishPremiership_1916/1917,Scotland,-
2619,Celtic FC,1915/1916,ScottishPremiership_1915/1916,Scotland,-
2620,Celtic FC,1914/1915,ScottishPremiership_1914/1915,Scotland,-
2621,Celtic FC,1913/1914,ScottishPremiership_1913/1914,Scotland,-
2622,Rangers FC,1912/1913,ScottishPremiership_1912/1913,Scotland,-
2623,Rangers FC,1911/1912,ScottishPremiership_1911/1912,Scotland,-
2624,Rangers FC,1910/1911,ScottishPremiership_1910/1911,Scotland,-
2625,Celtic FC,1909/1910,ScottishPremiership_1909/1910,Scotland,-
2626,Celtic FC,1908/1909,ScottishPremiership_1908/1909,Scotland,-
2627,Celtic FC,1907/1908,ScottishPremiership_1907/1908,Scotland,-
2628,Celtic FC,1906/1907,ScottishPremiership_1906/1907,Scotland,-
2629,Celtic FC,1905/1906,ScottishPremiership_1905/1906,Scotland,-
2630,Celtic FC,1904/1905,ScottishPremiership_1904/1905,Scotland,-
2631,Third Lanark (dis.),1903/1904,ScottishPremiership_1903/1904,Scotland,-
2632,Hibernian FC,1902/1903,ScottishPremiership_1902/1903,Scotland,-
2633,Rangers FC,1901/1902,ScottishPremiership_1901/1902,Scotland,-
2634,Rangers FC,1900/1901,ScottishPremiership_1900/1901,Scotland,-
2635,Rangers FC,1899/1900,ScottishPremiership_1899/1900,Scotland,-
2636,Rangers FC,1898/1999,ScottishPremiership_1898/1999,Scotland,-
2637,Celtic FC,1897/1998,ScottishPremiership_1897/1998,Scotland,-
2638,Heart of Midlothian FC,1896/1997,ScottishPremiership_1896/1997,Scotland,-
2639,Celtic FC,1895/1996,ScottishPremiership_1895/1996,Scotland,-
2640,Heart of Midlothian FC,1894/1995,ScottishPremiership_1894/1995,Scotland,-
2641,Celtic FC,1893/1994,ScottishPremiership_1893/1994,Scotland,-
2642,Celtic FC,1892/1993,ScottishPremiership_1892/1993,Scotland,-
2643,Dumbarton FC,1891/1992,ScottishPremiership_1891/1992,Scotland,-
2644,Dumbarton FC,1890/1991,ScottishPremiership_1890/1991,Scotland,-
2645,Rangers FC,1890/1991,ScottishPremiership_1890/1991,Scotland,-
2646,Red Star Belgrade,2018/2019,SuperligaSrbije_2018/2019,Serbia,Vladan Milojevic
2647,Red Star Belgrade,2017/2018,SuperligaSrbije_2017/2018,Serbia,Vladan Milojevic
2648,FK Partizan Belgrade,2016/2017,SuperligaSrbije_2016/2017,Serbia,Marko Nikolic
2649,Red Star Belgrade,2015/2016,SuperligaSrbije_2015/2016,Serbia,Miodrag Bozovic
2650,FK Partizan Belgrade,2014/2015,SuperligaSrbije_2014/2015,Serbia,Misa Filipovic
2651,Red Star Belgrade,2013/2014,SuperligaSrbije_2013/2014,Serbia,Slavisa Stojanovic
2652,FK Partizan Belgrade,2012/2013,SuperligaSrbije_2012/2013,Serbia,Vuk Rasovic
2653,FK Partizan Belgrade,2011/2012,SuperligaSrbije_2011/2012,Serbia,Avram Grant
