,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value,Captain 
6487,Kieran Tierney,22 Years,"Jun 5, 1997 ",Scotland,Defender,Arsenal FC,3,€25.00m,-
6488,Sead Kolasinac,26 Years,"Jun 20, 1993 ",Bosnia-Herzegovina,Defender,Arsenal FC,31,€20.00m,-
6489,Héctor Bellerín,25 Years,"Mar 19, 1995 ",Spain,Defender,Arsenal FC,2,€40.00m,-
6490,Calum Chambers,25 Years,"Jan 20, 1995 ",England,Defender,Arsenal FC,21,€18.00m,-
6491,Cédric Soares,28 Years,"Aug 31, 1991 ",Portugal,Defender,Arsenal FC,17,€10.00m,-
6492,Lucas Torreira,24 Years,"Feb 11, 1996 ",Uruguay,Midfielder,Arsenal FC,11,€45.00m,-
6493,Granit Xhaka,27 Years,"Sep 27, 1992 ",Switzerland,Midfielder,Arsenal FC,34,€30.00m,-
6494,Mattéo Guendouzi,20 Years,"Apr 14, 1999 ",France,Midfielder,Arsenal FC,29,€45.00m,-
6495,Dani Ceballos,23 Years,"Aug 7, 1996 ",Spain,Midfielder,Arsenal FC,8,€40.00m,-
6496,Joe Willock,20 Years,"Aug 20, 1999 ",England,Midfielder,Arsenal FC,28,€18.00m,-
6497,Ainsley Maitland-Niles,22 Years,"Aug 29, 1997 ",England,Midfielder,Arsenal FC,15,€18.00m,-
6498,Bukayo Saka,18 Years,"Sep 5, 2001 ",England,Midfielder,Arsenal FC,77,€22.00m,-
6499,Mesut Özil,31 Years,"Oct 15, 1988 ",Germany,Midfielder,Arsenal FC,10,€22.00m,-
6500,Nicolas Pépé,24 Years,"May 29, 1995 ",Cote d'Ivoire,Forward,Arsenal FC,19,€65.00m,-
6501,Reiss Nelson,20 Years,"Dec 10, 1999 ",England,Forward,Arsenal FC,24,€14.00m,-
6502,Pierre-Emerick Aubameyang,30 Years,"Jun 18, 1989 ",Gabon,Forward,Arsenal FC,14,€70.00m,Team captain
6503,Alexandre Lacazette,28 Years,"May 28, 1991 ",France,Forward,Arsenal FC,9,€60.00m,-
6504,Gabriel Martinelli,18 Years,"Jun 18, 2001 ",Brazil,Forward,Arsenal FC,35,€28.00m,-
6505,Eddie Nketiah,20 Years,"May 30, 1999 ",England,Forward,Arsenal FC,30,€12.00m,-
6506,Jordan Pickford,26 Years,"Mar 7, 1994 ",England,Goalkeeper,Everton FC,1,€35.00m,-
6507,Maarten Stekelenburg,37 Years,"Sep 22, 1982 ",Netherlands,Goalkeeper,Everton FC,22,€700k,-
6508,Michael Keane,27 Years,"Jan 11, 1993 ",England,Defender,Everton FC,5,€25.00m,-
6509,Yerry Mina,25 Years,"Sep 23, 1994 ",Colombia,Defender,Everton FC,13,€25.00m,-
6510,Mason Holgate,23 Years,"Oct 22, 1996 ",England,Defender,Everton FC,2,€17.00m,-
6511,Lucas Digne,26 Years,"Jul 20, 1993 ",France,Defender,Everton FC,12,€35.00m,-
6512,Leighton Baines,35 Years,"Dec 11, 1984 ",England,Defender,Everton FC,3,€2.00m,-
6513,Djibril Sidibé,27 Years,"Jul 29, 1992 ",France,Defender,Everton FC,19,€12.00m,-
6514,Seamus Coleman,31 Years,"Oct 11, 1988 ",Ireland,Defender,Everton FC,23,€12.00m,Team captain
6515,Cuco Martina,30 Years,"Sep 25, 1989 ",Curacao,Defender,Everton FC,30,€1.50m,-
6516,Jean-Philippe Gbamin,24 Years,"Sep 25, 1995 ",Cote d'Ivoire,Midfielder,Everton FC,25,€28.00m,-
6517,Morgan Schneiderlin,30 Years,"Nov 8, 1989 ",France,Midfielder,Everton FC,18,€12.00m,-
6518,André Gomes,26 Years,"Jul 30, 1993 ",Portugal,Midfielder,Everton FC,21,€28.00m,-
6519,Tom Davies,21 Years,"Jun 30, 1998 ",England,Midfielder,Everton FC,26,€18.00m,-
6520,Fabian Delph,30 Years,"Nov 21, 1989 ",England,Midfielder,Everton FC,8,€15.00m,-
6521,Beni Baningime,21 Years,"Sep 9, 1998 ",DR Congo,Midfielder,Everton FC,34,€1.50m,-
6522,Gylfi Sigurdsson,30 Years,"Sep 8, 1989 ",Iceland,Midfielder,Everton FC,10,€28.00m,-
6523,Richarlison,22 Years,"May 10, 1997 ",Brazil,Forward,Everton FC,7,€65.00m,-
6524,Alex Iwobi,23 Years,"May 3, 1996 ",Nigeria,Forward,Everton FC,17,€32.00m,-
6525,Bernard,27 Years,"Sep 8, 1992 ",Brazil,Forward,Everton FC,20,€20.00m,-
6526,Theo Walcott,31 Years,"Mar 16, 1989 ",England,Forward,Everton FC,11,€15.00m,-
6527,Dominic Calvert-Lewin,23 Years,"Mar 16, 1997 ",England,Forward,Everton FC,9,€30.00m,-
6528,Moise Kean,20 Years,"Feb 28, 2000 ",Italy,Forward,Everton FC,27,€28.00m,-
6529,Cenk Tosun,28 Years,"Jun 7, 1991 ",Turkey,Forward,Everton FC,14,€15.00m,-
6530,Oumar Niasse,29 Years,"Apr 18, 1990 ",Senegal,Forward,Everton FC,29,€4.00m,-
6531,Kasper Schmeichel,33 Years,"Nov 5, 1986 ",Denmark,Goalkeeper,Leicester City,1,€12.00m,-
6532,Danny Ward,26 Years,"Jun 22, 1993 ",Wales,Goalkeeper,Leicester City,12,€8.00m,-
6533,Eldin Jakupovic,35 Years,"Oct 2, 1984 ",Switzerland,Goalkeeper,Leicester City,35,€750k,-
6534,Caglar Söyüncü,23 Years,"May 23, 1996 ",Turkey,Defender,Leicester City,4,€40.00m,-
6535,Jonny Evans,32 Years,"Jan 3, 1988 ",Northern Ireland,Defender,Leicester City,6,€15.00m,-
6536,Ryan Bennett,30 Years,"Mar 6, 1990 ",England,Defender,Leicester City,29,€5.00m,-
6537,Wes Morgan,36 Years,"Jan 21, 1984 ",Jamaica,Defender,Leicester City,5,€1.50m,Team captain
6538,Ben Chilwell,23 Years,"Dec 21, 1996 ",England,Defender,Leicester City,3,€50.00m,-
6539,Christian Fuchs,34 Years,"Apr 7, 1986 ",Austria,Defender,Leicester City,28,€2.00m,-
6540,Ricardo Pereira,26 Years,"Oct 6, 1993 ",Portugal,Defender,Leicester City,21,€40.00m,-
6541,James Justin,22 Years,"Feb 23, 1998 ",England,Defender,Leicester City,2,€4.00m,-
6542,Wilfred Ndidi,23 Years,"Dec 16, 1996 ",Nigeria,Midfielder,Leicester City,25,€45.00m,-
6543,Hamza Choudhury,22 Years,"Oct 1, 1997 ",England,Midfielder,Leicester City,20,€10.00m,-
6544,Daniel Amartey,25 Years,"Dec 21, 1994 ",Ghana,Midfielder,Leicester City,18,€7.00m,-
6545,Nampalys Mendy,27 Years,"Jun 23, 1992 ",France,Midfielder,Leicester City,24,€7.00m,-
6546,Youri Tielemans,22 Years,"May 7, 1997 ",Belgium,Midfielder,Leicester City,8,€55.00m,-
6547,Dennis Praet,25 Years,"May 14, 1994 ",Belgium,Midfielder,Leicester City,26,€24.00m,-
6548,Matty James,28 Years,"Jul 22, 1991 ",England,Midfielder,Leicester City,22,€1.50m,-
6549,Marc Albrighton,30 Years,"Nov 18, 1989 ",England,Midfielder,Leicester City,11,€10.00m,-
6550,Harvey Barnes,22 Years,"Dec 9, 1997 ",England,Midfielder,Leicester City,15,€22.00m,-
6551,James Maddison,23 Years,"Nov 23, 1996 ",England,Midfielder,Leicester City,10,€60.00m,-
6552,Bartosz Kapustka,23 Years,"Dec 23, 1996 ",Poland,Midfielder,Leicester City,33,€1.50m,-
6553,Demarai Gray,23 Years,"Jun 28, 1996 ",England,Forward,Leicester City,7,€18.00m,-
6554,Ayoze Pérez,26 Years,"Jul 29, 1993 ",Spain,Forward,Leicester City,17,€30.00m,-
6555,Jamie Vardy,33 Years,"Jan 11, 1987 ",England,Forward,Leicester City,9,€20.00m,-
6556,Kelechi Iheanacho,23 Years,"Oct 3, 1996 ",Nigeria,Forward,Leicester City,14,€15.00m,-
6557,Rui Patrício,32 Years,"Feb 15, 1988 ",Portugal,Goalkeeper,Wolverhampton Wanderers,11,€20.00m,-
6558,John Ruddy,33 Years,"Oct 24, 1986 ",England,Goalkeeper,Wolverhampton Wanderers,21,€2.50m,-
6559,Willy Boly,29 Years,"Feb 3, 1991 ",France,Defender,Wolverhampton Wanderers,15,€18.00m,-
6560,Conor Coady,27 Years,"Feb 25, 1993 ",England,Defender,Wolverhampton Wanderers,16,€18.00m,Team captain
6561,Max Kilman,22 Years,"May 23, 1997 ",England,Defender,Wolverhampton Wanderers,49,€1.00m,-
6562,Jonny Otto,26 Years,"Mar 3, 1994 ",Spain,Defender,Wolverhampton Wanderers,19,€20.00m,-
6563,Rúben Vinagre,20 Years,"Apr 9, 1999 ",Portugal,Defender,Wolverhampton Wanderers,29,€10.00m,-
6564,Matt Doherty,28 Years,"Jan 16, 1992 ",Ireland,Defender,Wolverhampton Wanderers,2,€20.00m,-
6565,Phil Ofosu-Ayeh,28 Years,"Sep 15, 1991 ",Ghana,Defender,Wolverhampton Wanderers,40,€300k,-
6566,Rúben Neves,23 Years,"Mar 13, 1997 ",Portugal,Midfielder,Wolverhampton Wanderers,8,€50.00m,-
6567,Leander Dendoncker,24 Years,"Apr 15, 1995 ",Belgium,Midfielder,Wolverhampton Wanderers,32,€28.00m,-
6568,Romain Saïss,30 Years,"Mar 26, 1990 ",Morocco,Midfielder,Wolverhampton Wanderers,27,€5.00m,-
6569,João Moutinho,33 Years,"Sep 8, 1986 ",Portugal,Midfielder,Wolverhampton Wanderers,28,€10.00m,-
6570,Morgan Gibbs-White,20 Years,"Jan 27, 2000 ",England,Midfielder,Wolverhampton Wanderers,17,€8.00m,-
6571,Enzo Loiodice,19 Years,"Nov 27, 2000 ",France,Midfielder,Wolverhampton Wanderers,-,€4.50m,-
6572,Bruno Jordão,21 Years,"Oct 12, 1998 ",Portugal,Midfielder,Wolverhampton Wanderers,6,€2.50m,-
6573,Ming-Yang Yang,24 Years,"Jul 11, 1995 ",Switzerland,Midfielder,Wolverhampton Wanderers,39,€250k,-
6574,Diogo Jota,23 Years,"Dec 4, 1996 ",Portugal,Forward,Wolverhampton Wanderers,18,€35.00m,-
6575,Daniel Podence,24 Years,"Oct 21, 1995 ",Portugal,Forward,Wolverhampton Wanderers,10,€15.00m,-
6576,Adama Traoré,24 Years,"Jan 25, 1996 ",Spain,Forward,Wolverhampton Wanderers,37,€32.00m,-
6577,Pedro Neto,20 Years,"Mar 9, 2000 ",Portugal,Forward,Wolverhampton Wanderers,7,€13.00m,-
6578,Raúl Jiménez,28 Years,"May 5, 1991 ",Mexico,Forward,Wolverhampton Wanderers,9,€50.00m,-
6579,Leonardo Campana,19 Years,"Jul 24, 2000 ",Ecuador,Forward,Wolverhampton Wanderers,30,€2.00m,-
6580,Bright Enobakhare,22 Years,"Feb 8, 1998 ",Nigeria,Forward,Wolverhampton Wanderers,14,€500k,-
6581,Lukasz Fabianski,34 Years,"Apr 18, 1985 ",Poland,Goalkeeper,West Ham United,1,€4.00m,-
6582,Darren Randolph,32 Years,"May 12, 1987 ",Ireland,Goalkeeper,West Ham United,35,€3.50m,-
6583,David Martin,34 Years,"Jan 22, 1986 ",England,Goalkeeper,West Ham United,25,€250k,-
6584,Issa Diop,23 Years,"Jan 9, 1997 ",France,Defender,West Ham United,23,€35.00m,-
6585,Fabián Balbuena,28 Years,"Aug 23, 1991 ",Paraguay,Defender,West Ham United,4,€12.00m,-
6586,Angelo Ogbonna,31 Years,"May 23, 1988 ",Italy,Defender,West Ham United,21,€8.00m,-
6587,Gonçalo Cardoso,19 Years,"Oct 21, 2000 ",Portugal,Defender,West Ham United,20,€2.50m,-
6588,Aaron Cresswell,30 Years,"Dec 15, 1989 ",England,Defender,West Ham United,3,€8.00m,-
6589,Arthur Masuaku,26 Years,"Nov 7, 1993 ",DR Congo,Defender,West Ham United,26,€8.00m,-
6590,Ryan Fredericks,27 Years,"Oct 10, 1992 ",England,Defender,West Ham United,24,€5.00m,-
6591,Pablo Zabaleta,35 Years,"Jan 16, 1985 ",Argentina,Defender,West Ham United,5,€1.00m,-
6592,Declan Rice,21 Years,"Jan 14, 1999 ",England,Midfielder,West Ham United,41,€55.00m,-
6593,Tomas Soucek,25 Years,"Feb 27, 1995 ",Czech Republic,Midfielder,West Ham United,28,€15.00m,-
6594,Carlos Sánchez,34 Years,"Feb 6, 1986 ",Colombia,Midfielder,West Ham United,15,€1.50m,-
6595,Mark Noble,32 Years,"May 8, 1987 ",England,Midfielder,West Ham United,16,€6.00m,Team captain
6596,Jack Wilshere,28 Years,"Jan 1, 1992 ",England,Midfielder,West Ham United,19,€6.00m,-
6597,Manuel Lanzini,27 Years,"Feb 15, 1993 ",Argentina,Midfielder,West Ham United,10,€20.00m,-
6598,Pablo Fornals,24 Years,"Feb 22, 1996 ",Spain,Midfielder,West Ham United,18,€20.00m,-
6599,Felipe Anderson,26 Years,"Apr 15, 1993 ",Brazil,Forward,West Ham United,8,€40.00m,-
6600,Jarrod Bowen,23 Years,"Dec 20, 1996 ",England,Forward,West Ham United,17,€20.00m,-
6601,Andriy Yarmolenko,30 Years,"Oct 23, 1989 ",Ukraine,Forward,West Ham United,7,€12.00m,-
6602,Michail Antonio,30 Years,"Mar 28, 1990 ",England,Forward,West Ham United,30,€12.00m,-
6603,Robert Snodgrass,32 Years,"Sep 7, 1987 ",Scotland,Forward,West Ham United,11,€6.00m,-
6604,Sébastien Haller,25 Years,"Jun 22, 1994 ",France,Forward,West Ham United,22,€45.00m,-
6605,Albian Ajeti,23 Years,"Feb 26, 1997 ",Switzerland,Forward,West Ham United,27,€6.00m,-
6606,Aaron Ramsdale,21 Years,"May 14, 1998 ",England,Goalkeeper,AFC Bournemouth,12,€14.00m,-
6607,Artur Boruc,40 Years,"Feb 20, 1980 ",Poland,Goalkeeper,AFC Bournemouth,1,€500k,-
6608,Mark Travers,20 Years,"May 18, 1999 ",Ireland,Goalkeeper,AFC Bournemouth,42,€250k,-
6609,Nathan Aké,25 Years,"Feb 18, 1995 ",Netherlands,Defender,AFC Bournemouth,5,€35.00m,-
6610,Steve Cook,28 Years,"Apr 19, 1991 ",England,Defender,AFC Bournemouth,3,€12.00m,-
6611,Chris Mepham,22 Years,"Nov 5, 1997 ",Wales,Defender,AFC Bournemouth,33,€10.00m,-
6612,Jack Simpson,23 Years,"Dec 18, 1996 ",England,Defender,AFC Bournemouth,25,€1.50m,-
6613,Diego Rico,27 Years,"Feb 23, 1993 ",Spain,Defender,AFC Bournemouth,21,€10.00m,-
6614,Lloyd Kelly,21 Years,"Oct 6, 1998 ",England,Defender,AFC Bournemouth,26,€9.00m,-
6615,Charlie Daniels,33 Years,"Sep 7, 1986 ",England,Defender,AFC Bournemouth,11,€2.00m,-
6616,Adam Smith,28 Years,"Apr 29, 1991 ",England,Defender,AFC Bournemouth,15,€9.00m,-
6617,Jack Stacey,24 Years,"Apr 6, 1996 ",England,Defender,AFC Bournemouth,17,€4.00m,-
6618,Simon Francis,35 Years,"Feb 16, 1985 ",England,Defender,AFC Bournemouth,2,€1.00m,Team captain
6619,Jefferson Lerma,25 Years,"Oct 25, 1994 ",Colombia,Midfielder,AFC Bournemouth,8,€25.00m,-
6620,Lewis Cook,23 Years,"Feb 3, 1997 ",England,Midfielder,AFC Bournemouth,16,€20.00m,-
6621,Philip Billing,23 Years,"Jun 11, 1996 ",Denmark,Midfielder,AFC Bournemouth,29,€18.00m,-
6622,Dan Gosling,30 Years,"Feb 1, 1990 ",England,Midfielder,AFC Bournemouth,4,€2.50m,-
6623,Andrew Surman,33 Years,"Aug 20, 1986 ",England,Midfielder,AFC Bournemouth,6,€2.00m,-
6624,Kyle Taylor,20 Years,"Aug 28, 1999 ",England,Midfielder,AFC Bournemouth,28,,-
6625,David Brooks,22 Years,"Jul 8, 1997 ",Wales,Midfielder,AFC Bournemouth,20,€30.00m,-
6626,Ryan Fraser,26 Years,"Feb 24, 1994 ",Scotland,Forward,AFC Bournemouth,24,€22.00m,-
6627,Arnaut Danjuma,23 Years,"Jan 31, 1997 ",Netherlands,Forward,AFC Bournemouth,14,€12.00m,-
6628,Junior Stanislas,30 Years,"Nov 26, 1989 ",England,Forward,AFC Bournemouth,19,€2.50m,-
6629,Harry Wilson,23 Years,"Mar 22, 1997 ",Wales,Forward,AFC Bournemouth,22,€22.00m,-
6630,Jordon Ibe,24 Years,"Dec 8, 1995 ",England,Forward,AFC Bournemouth,10,€6.00m,-
6631,Joshua King,28 Years,"Jan 15, 1992 ",Norway,Forward,AFC Bournemouth,7,€20.00m,-
6632,Callum Wilson,28 Years,"Feb 27, 1992 ",England,Forward,AFC Bournemouth,13,€30.00m,-
6633,Dominic Solanke,22 Years,"Sep 14, 1997 ",England,Forward,AFC Bournemouth,9,€15.00m,-
6634,Sam Surridge,21 Years,"Jul 28, 1998 ",England,Forward,AFC Bournemouth,44,€500k,-
6635,Martin Dubravka,31 Years,"Jan 15, 1989 ",Slovakia,Goalkeeper,Newcastle United,1,€7.00m,-
6636,Karl Darlow,29 Years,"Oct 8, 1990 ",England,Goalkeeper,Newcastle United,26,€3.00m,-
6637,Rob Elliot,33 Years,"Apr 30, 1986 ",Ireland,Goalkeeper,Newcastle United,21,€750k,-
6638,Jamaal Lascelles,26 Years,"Nov 11, 1993 ",England,Defender,Newcastle United,6,€18.00m,Team captain
6639,Fabian Schär,28 Years,"Dec 20, 1991 ",Switzerland,Defender,Newcastle United,5,€16.00m,-
6640,Federico Fernández,31 Years,"Feb 21, 1989 ",Argentina,Defender,Newcastle United,18,€7.00m,-
6641,Ciaran Clark,30 Years,"Sep 26, 1989 ",Ireland,Defender,Newcastle United,2,€6.00m,-
6642,Florian Lejeune,28 Years,"May 20, 1991 ",France,Defender,Newcastle United,20,€6.00m,-
6643,Danny Rose,29 Years,"Jul 2, 1990 ",England,Defender,Newcastle United,28,€20.00m,-
6644,Paul Dummett,28 Years,"Sep 26, 1991 ",Wales,Defender,Newcastle United,3,€7.00m,-
6645,Jetro Willems,26 Years,"Mar 30, 1994 ",Netherlands,Defender,Newcastle United,15,€7.00m,-
6646,DeAndre Yedlin,26 Years,"Jul 9, 1993 ",United States,Defender,Newcastle United,22,€8.00m,-
6647,Emil Krafth,25 Years,"Aug 2, 1994 ",Sweden,Defender,Newcastle United,17,€5.00m,-
6648,Javier Manquillo,25 Years,"May 5, 1994 ",Spain,Defender,Newcastle United,19,€5.00m,-
6649,Jamie Sterry,24 Years,"Nov 21, 1995 ",England,Defender,Newcastle United,-,€75k,-
6650,Isaac Hayden,25 Years,"Mar 22, 1995 ",England,Midfielder,Newcastle United,14,€10.00m,-
6651,Matthew Longstaff,20 Years,"Mar 21, 2000 ",England,Midfielder,Newcastle United,43,€4.00m,-
6652,Jack Colback,30 Years,"Oct 24, 1989 ",England,Midfielder,Newcastle United,34,€2.00m,-
6653,Sean Longstaff,22 Years,"Oct 30, 1997 ",England,Midfielder,Newcastle United,36,€22.00m,-
6654,Jonjo Shelvey,28 Years,"Feb 27, 1992 ",England,Midfielder,Newcastle United,8,€18.00m,-
6655,Nabil Bentaleb,25 Years,"Nov 24, 1994 ",Algeria,Midfielder,Newcastle United,42,€5.00m,-
6656,Valentino Lazaro,24 Years,"Mar 24, 1996 ",Austria,Midfielder,Newcastle United,23,€19.00m,-
6657,Matt Ritchie,30 Years,"Sep 10, 1989 ",Scotland,Midfielder,Newcastle United,11,€12.00m,-
6658,Miguel Almirón,26 Years,"Feb 10, 1994 ",Paraguay,Midfielder,Newcastle United,24,€20.00m,-
6659,Henri Saivet,29 Years,"Oct 26, 1990 ",Senegal,Midfielder,Newcastle United,27,€1.00m,-
6660,Allan Saint-Maximin,23 Years,"Mar 12, 1997 ",France,Forward,Newcastle United,10,€25.00m,-
6661,Christian Atsu,28 Years,"Jan 10, 1992 ",Ghana,Forward,Newcastle United,30,€6.00m,-
6662,Joelinton,23 Years,"Aug 14, 1996 ",Brazil,Forward,Newcastle United,9,€25.00m,-
6663,Dwight Gayle,29 Years,"Oct 17, 1990 ",England,Forward,Newcastle United,12,€12.00m,-
6664,Yoshinori Muto,27 Years,"Jul 15, 1992 ",Japan,Forward,Newcastle United,13,€7.00m,-
6665,Andy Carroll,31 Years,"Jan 6, 1989 ",England,Forward,Newcastle United,7,€4.00m,-
6666,Tom Heaton,33 Years,"Apr 15, 1986 ",England,Goalkeeper,Aston Villa,1,€6.00m,-
6667,Jed Steer,27 Years,"Sep 23, 1992 ",England,Goalkeeper,Aston Villa,12,€1.50m,-
6668,Örjan Nyland,29 Years,"Sep 10, 1990 ",Norway,Goalkeeper,Aston Villa,25,€1.50m,-
6669,Pepe Reina,37 Years,"Aug 31, 1982 ",Spain,Goalkeeper,Aston Villa,29,€800k,-
6670,Matija Sarkic,22 Years,"Jul 23, 1997 ",Montenegro,Goalkeeper,Aston Villa,31,€100k,-
6671,Tyrone Mings,27 Years,"Mar 13, 1993 ",England,Defender,Aston Villa,40,€28.00m,-
6672,Björn Engels,25 Years,"Sep 15, 1994 ",Belgium,Defender,Aston Villa,22,€12.00m,-
6673,Ezri Konsa,22 Years,"Oct 23, 1997 ",England,Defender,Aston Villa,15,€8.00m,-
6674,Kortney Hause,24 Years,"Jul 16, 1995 ",England,Defender,Aston Villa,30,€8.00m,-
6675,Matt Targett,24 Years,"Sep 18, 1995 ",England,Defender,Aston Villa,18,€13.00m,-
6676,Neil Taylor,31 Years,"Feb 7, 1989 ",Wales,Defender,Aston Villa,3,€3.50m,-
6677,Frédéric Guilbert,25 Years,"Dec 24, 1994 ",France,Defender,Aston Villa,24,€9.00m,-
6678,Ahmed Elmohamady,32 Years,"Sep 9, 1987 ",Egypt,Defender,Aston Villa,27,€2.50m,-
6679,Marvelous Nakamba,26 Years,"Jan 19, 1994 ",Zimbabwe,Midfielder,Aston Villa,11,€10.00m,-
6680,Douglas Luiz,21 Years,"May 9, 1998 ",Brazil,Midfielder,Aston Villa,6,€20.00m,-
6681,John McGinn,25 Years,"Oct 18, 1994 ",Scotland,Midfielder,Aston Villa,7,€20.00m,-
6682,Conor Hourihane,29 Years,"Feb 2, 1991 ",Ireland,Midfielder,Aston Villa,14,€7.50m,-
6683,Danny Drinkwater,30 Years,"Mar 5, 1990 ",England,Midfielder,Aston Villa,4,€6.00m,-
6684,Henri Lansbury,29 Years,"Oct 12, 1990 ",England,Midfielder,Aston Villa,8,€1.50m,-
6685,Jack Grealish,24 Years,"Sep 10, 1995 ",England,Midfielder,Aston Villa,10,€38.00m,Team captain
6686,Trezeguet,25 Years,"Oct 1, 1994 ",Egypt,Forward,Aston Villa,17,€10.00m,-
6687,Anwar El Ghazi,24 Years,"May 3, 1995 ",Netherlands,Forward,Aston Villa,21,€10.00m,-
6688,Jota,28 Years,"Jun 16, 1991 ",Spain,Forward,Aston Villa,23,€4.50m,-
6689,Wesley,23 Years,"Nov 26, 1996 ",Brazil,Forward,Aston Villa,9,€30.00m,-
6690,Mbwana Samatta,27 Years,"Dec 23, 1992 ",Tanzania,Forward,Aston Villa,20,€12.00m,-
6691,Borja Bastón,27 Years,"Aug 25, 1992 ",Spain,Forward,Aston Villa,19,€4.00m,-
6692,Keinan Davis,22 Years,"Feb 13, 1998 ",England,Forward,Aston Villa,39,€2.50m,-
6693,Ben Foster,37 Years,"Apr 3, 1983 ",England,Goalkeeper,Watford FC,26,€1.50m,-
6694,Heurelho Gomes,39 Years,"Feb 15, 1981 ",Brazil,Goalkeeper,Watford FC,1,€500k,-
6695,Daniel Bachmann,25 Years,"Jul 9, 1994 ",Austria,Goalkeeper,Watford FC,35,€500k,-
6696,Christian Kabasele,29 Years,"Feb 24, 1991 ",Belgium,Defender,Watford FC,27,€8.00m,-
6697,Craig Dawson,29 Years,"May 6, 1990 ",England,Defender,Watford FC,4,€6.00m,-
6698,Craig Cathcart,31 Years,"Feb 6, 1989 ",Northern Ireland,Defender,Watford FC,15,€5.00m,-
6699,Adrian Mariappa,33 Years,"Oct 3, 1986 ",Jamaica,Defender,Watford FC,6,€2.00m,-
6700,Jorge Segura,23 Years,"Jan 18, 1997 ",Colombia,Defender,Watford FC,-,€1.00m,-
6701,Adam Masina,26 Years,"Jan 2, 1994 ",Italy,Defender,Watford FC,11,€7.00m,-
6702,José Holebas,35 Years,"Jun 27, 1984 ",Greece,Defender,Watford FC,25,€1.50m,-
6703,Kiko Femenía,29 Years,"Feb 2, 1991 ",Spain,Defender,Watford FC,21,€6.00m,-
6704,Daryl Janmaat,30 Years,"Jul 22, 1989 ",Netherlands,Defender,Watford FC,2,€5.00m,-
6705,Étienne Capoue,31 Years,"Jul 11, 1988 ",France,Midfielder,Watford FC,29,€6.50m,-
6706,Nathaniel Chalobah,25 Years,"Dec 12, 1994 ",England,Midfielder,Watford FC,14,€6.00m,-
6707,Abdoulaye Doucouré,27 Years,"Jan 1, 1993 ",France,Midfielder,Watford FC,16,€25.00m,-
6708,Will Hughes,24 Years,"Apr 17, 1995 ",England,Midfielder,Watford FC,19,€18.00m,-
6709,Tom Cleverley,30 Years,"Aug 12, 1989 ",England,Midfielder,Watford FC,8,€6.00m,-
6710,Domingos Quina,20 Years,"Nov 18, 1999 ",Portugal,Midfielder,Watford FC,20,€3.50m,-
6711,Tom Dele-Bashiru,20 Years,"Sep 17, 1999 ",Nigeria,Midfielder,Watford FC,24,€500k,-
6712,Roberto Pereyra,29 Years,"Jan 7, 1991 ",Argentina,Midfielder,Watford FC,37,€11.00m,-
6713,Gerard Deulofeu,26 Years,"Mar 13, 1994 ",Spain,Forward,Watford FC,7,€25.00m,-
6714,Isaac Success,24 Years,"Jan 7, 1996 ",Nigeria,Forward,Watford FC,22,€4.00m,-
6715,Ismaïla Sarr,22 Years,"Feb 25, 1998 ",Senegal,Forward,Watford FC,23,€27.00m,-
6716,Ignacio Pussetto,24 Years,"Dec 21, 1995 ",Argentina,Forward,Watford FC,33,€8.00m,-
6717,João Pedro,18 Years,"Sep 26, 2001 ",Brazil,Forward,Watford FC,17,€20.00m,-
6718,Andre Gray,28 Years,"Jun 26, 1991 ",England,Forward,Watford FC,18,€12.00m,-
6719,Troy Deeney,31 Years,"Jun 29, 1988 ",England,Forward,Watford FC,9,€8.00m,Team captain
6720,Danny Welbeck,29 Years,"Nov 26, 1990 ",England,Forward,Watford FC,10,€7.00m,-
6721,Adalberto Peñaranda,22 Years,"May 31, 1997 ",Venezuela,Forward,Watford FC,13,€1.30m,-
6722,Mathew Ryan,27 Years,"Apr 8, 1992 ",Australia,Goalkeeper,Brighton & Hove Albion,1,€10.00m,-
6723,David Button,31 Years,"Feb 27, 1989 ",England,Goalkeeper,Brighton & Hove Albion,27,€1.50m,-
6724,Jason Steele,29 Years,"Aug 18, 1990 ",England,Goalkeeper,Brighton & Hove Albion,23,€750k,-
6725,Lewis Dunk,28 Years,"Nov 21, 1991 ",England,Defender,Brighton & Hove Albion,5,€20.00m,Team captain
6726,Adam Webster,25 Years,"Jan 4, 1995 ",England,Defender,Brighton & Hove Albion,15,€15.00m,-
6727,Shane Duffy,28 Years,"Jan 1, 1992 ",Ireland,Defender,Brighton & Hove Albion,4,€12.00m,-
6728,Dan Burn,27 Years,"May 9, 1992 ",England,Defender,Brighton & Hove Albion,33,€5.00m,-
6729,Bernardo,24 Years,"May 14, 1995 ",Brazil,Defender,Brighton & Hove Albion,30,€6.00m,-
6730,Martín Montoya,28 Years,"Apr 14, 1991 ",Spain,Defender,Brighton & Hove Albion,22,€8.00m,-
6731,Tariq Lamptey,19 Years,"Sep 30, 2000 ",England,Defender,Brighton & Hove Albion,2,€3.50m,-
6732,Ezequiel Schelotto,30 Years,"May 23, 1989 ",Italy,Defender,Brighton & Hove Albion,21,€1.50m,-
6733,Davy Pröpper,28 Years,"Sep 2, 1991 ",Netherlands,Midfielder,Brighton & Hove Albion,24,€17.00m,-
