,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value 
6851,Billy Sharp,34 Years,"Feb 5, 1986 ",England,Forward,Sheffield United,10,€2.00m
6852,David McGoldrick,32 Years,"Nov 29, 1987 ",Ireland,Forward,Sheffield United,17,€2.00m
6853,Richairo Zivkovic,23 Years,"Sep 5, 1996 ",Netherlands,Forward,Sheffield United,30,€800k
6854,Leon Clarke,35 Years,"Feb 10, 1985 ",England,Forward,Sheffield United,24,€300k
6855,Tim Krul,32 Years,"Apr 3, 1988 ",Netherlands,Goalkeeper,Norwich City,1,€5.00m
6856,Michael McGovern,35 Years,"Jul 12, 1984 ",Northern Ireland,Goalkeeper,Norwich City,33,€350k
6857,Ben Godfrey,22 Years,"Jan 15, 1998 ",England,Defender,Norwich City,4,€13.00m
6858,Christoph Zimmermann,27 Years,"Jan 12, 1993 ",Germany,Defender,Norwich City,6,€3.50m
6859,Grant Hanley,28 Years,"Nov 20, 1991 ",Scotland,Defender,Norwich City,5,€2.50m
6860,Timm Klose,31 Years,"May 9, 1988 ",Switzerland,Defender,Norwich City,15,€2.50m
6861,Jamal Lewis,22 Years,"Jan 25, 1998 ",Northern Ireland,Defender,Norwich City,12,€12.00m
6862,Max Aarons,20 Years,"Jan 4, 2000 ",England,Defender,Norwich City,2,€22.00m
6863,Sam Byram,26 Years,"Sep 16, 1993 ",England,Defender,Norwich City,3,€3.50m
6864,Tom Trybull,27 Years,"Mar 9, 1993 ",Germany,Midfielder,Norwich City,19,€4.00m
6865,Alexander Tettey,34 Years,"Apr 4, 1986 ",Norway,Midfielder,Norwich City,27,€2.00m
6866,Kenny McLean,28 Years,"Jan 8, 1992 ",Scotland,Midfielder,Norwich City,23,€4.50m
6867,Lukas Rupp,29 Years,"Jan 8, 1991 ",Germany,Midfielder,Norwich City,7,€3.00m
6868,Moritz Leitner,27 Years,"Dec 8, 1992 ",Germany,Midfielder,Norwich City,10,€3.00m
6869,Mario Vrancic,30 Years,"May 23, 1989 ",Bosnia-Herzegovina,Midfielder,Norwich City,8,€2.50m
6870,Todd Cantwell,22 Years,"Feb 27, 1998 ",England,Midfielder,Norwich City,14,€22.00m
6871,Ondrej Duda,25 Years,"Dec 5, 1994 ",Slovakia,Midfielder,Norwich City,25,€13.00m
6872,Marco Stiepermann,29 Years,"Feb 9, 1991 ",Germany,Midfielder,Norwich City,18,€4.00m
6873,Onel Hernández,27 Years,"Feb 1, 1993 ",Cuba,Forward,Norwich City,11,€4.00m
6874,Emiliano Buendía,23 Years,"Dec 25, 1996 ",Argentina,Forward,Norwich City,17,€18.00m
6875,Teemu Pukki,30 Years,"Mar 29, 1990 ",Finland,Forward,Norwich City,22,€10.00m
6876,Josip Drmic,27 Years,"Aug 8, 1992 ",Switzerland,Forward,Norwich City,20,€2.00m
6877,Marek Rodak,23 Years,"Dec 13, 1996 ",Slovakia,Goalkeeper,Fulham FC,12,€5.00m
6878,Marcus Bettinelli,27 Years,"May 24, 1992 ",England,Goalkeeper,Fulham FC,1,€2.00m
6879,Jordan Archer,26 Years,"Apr 12, 1993 ",Scotland,Goalkeeper,Fulham FC,26,€500k
6880,Magnus Norman,23 Years,"Jan 19, 1997 ",England,Goalkeeper,Fulham FC,32,€250k
6881,Terence Kongolo,26 Years,"Feb 14, 1994 ",Netherlands,Defender,Fulham FC,15,€10.00m
6882,Alfie Mawson,26 Years,"Jan 19, 1994 ",England,Defender,Fulham FC,5,€9.00m
6883,Michael Hector,27 Years,"Jul 19, 1992 ",Jamaica,Defender,Fulham FC,3,€6.00m
6884,Maxime Le Marchand,30 Years,"Oct 11, 1989 ",France,Defender,Fulham FC,20,€2.00m
6885,Tim Ream,32 Years,"Oct 5, 1987 ",United States,Defender,Fulham FC,13,€1.50m
6886,Joe Bryan,26 Years,"Sep 17, 1993 ",England,Defender,Fulham FC,23,€7.00m
6887,Steven Sessegnon,19 Years,"May 18, 2000 ",England,Defender,Fulham FC,43,€2.50m
6888,Denis Odoi,31 Years,"May 27, 1988 ",Belgium,Defender,Fulham FC,4,€2.00m
6889,Cyrus Christie,27 Years,"Sep 30, 1992 ",Ireland,Defender,Fulham FC,22,€2.00m
6890,Harrison Reed,25 Years,"Jan 27, 1995 ",England,Midfielder,Fulham FC,21,€3.00m
6891,Kevin McDonald,31 Years,"Nov 4, 1988 ",Scotland,Midfielder,Fulham FC,6,€2.50m
6892,Josh Onomah,22 Years,"Apr 27, 1997 ",England,Midfielder,Fulham FC,25,€5.00m
6893,Harry Arter,30 Years,"Dec 28, 1989 ",Ireland,Midfielder,Fulham FC,18,€4.50m
6894,Stefan Johansen,29 Years,"Jan 8, 1991 ",Norway,Midfielder,Fulham FC,8,€4.00m
6895,Matt O'Riley,19 Years,"Nov 21, 2000 ",England,Midfielder,Fulham FC,33,€500k
6896,Luca de la Torre,21 Years,"May 23, 1998 ",United States,Midfielder,Fulham FC,36,€500k
6897,Tom Cairney,29 Years,"Jan 20, 1991 ",Scotland,Midfielder,Fulham FC,10,€15.00m
6898,Neeskens Kebano,28 Years,"Mar 10, 1992 ",DR Congo,Midfielder,Fulham FC,7,€1.50m
6899,Ivan Cavaleiro,26 Years,"Oct 18, 1993 ",Portugal,Forward,Fulham FC,19,€10.00m
6900,Anthony Knockaert,28 Years,"Nov 20, 1991 ",France,Forward,Fulham FC,24,€8.00m
6901,Bobby Reid,27 Years,"Feb 2, 1993 ",Jamaica,Forward,Fulham FC,14,€10.00m
6902,Aleksandar Mitrovic,25 Years,"Sep 16, 1994 ",Serbia,Forward,Fulham FC,9,€25.00m
6903,Aboubakar Kamara,25 Years,"Mar 7, 1995 ",France,Forward,Fulham FC,47,€2.00m
6904,Jay Stansfield,17 Years,"Nov 24, 2002 ",England,Forward,Fulham FC,61,€500k
6905,Sam Johnstone,27 Years,"Mar 25, 1993 ",England,Goalkeeper,West Bromwich Albion,1,€7.00m
6906,Jonathan Bond,26 Years,"May 19, 1993 ",England,Goalkeeper,West Bromwich Albion,23,€250k
6907,Ali Al-Habsi,38 Years,"Dec 30, 1981 ",Oman,Goalkeeper,West Bromwich Albion,25,€250k
6908,Semi Ajayi,26 Years,"Nov 9, 1993 ",Nigeria,Defender,West Bromwich Albion,6,€5.00m
6909,Ahmed Hegazy,29 Years,"Jan 25, 1991 ",Egypt,Defender,West Bromwich Albion,26,€4.50m
6910,Nathan Ferguson,19 Years,"Oct 6, 2000 ",England,Defender,West Bromwich Albion,36,€4.50m
6911,Kyle Bartley,28 Years,"May 22, 1991 ",England,Defender,West Bromwich Albion,5,€3.50m
6912,Dara O'Shea,21 Years,"Mar 4, 1999 ",Ireland,Defender,West Bromwich Albion,27,€1.00m
6913,Jack Fitzwater,22 Years,"Sep 23, 1997 ",England,Defender,West Bromwich Albion,32,€150k
6914,Kieran Gibbs,30 Years,"Sep 26, 1989 ",England,Defender,West Bromwich Albion,3,€4.00m
6915,Conor Townsend,27 Years,"Mar 4, 1993 ",England,Defender,West Bromwich Albion,14,€1.00m
6916,Darnell Furlong,24 Years,"Oct 31, 1995 ",England,Defender,West Bromwich Albion,2,€4.00m
6917,Lee Peltier,33 Years,"Dec 11, 1986 ",England,Defender,West Bromwich Albion,22,€1.00m
6918,Jake Livermore,30 Years,"Nov 14, 1989 ",England,Midfielder,West Bromwich Albion,8,€7.00m
6919,Gareth Barry,39 Years,"Feb 23, 1981 ",England,Midfielder,West Bromwich Albion,18,€400k
6920,Romaine Sawyers,28 Years,"Nov 2, 1991 ",St. Kitts & Nevis,Midfielder,West Bromwich Albion,19,€4.00m
6921,Rekeem Harper,20 Years,"Mar 8, 2000 ",England,Midfielder,West Bromwich Albion,16,€2.50m
6922,Kyle Edwards,22 Years,"Feb 17, 1998 ",England,Midfielder,West Bromwich Albion,21,€1.50m
6923,Chris Brunt,35 Years,"Dec 14, 1984 ",Northern Ireland,Midfielder,West Bromwich Albion,11,€750k
6924,Filip Krovinovic,24 Years,"Aug 29, 1995 ",Croatia,Midfielder,West Bromwich Albion,7,€4.00m
6925,Callum Robinson,25 Years,"Feb 2, 1995 ",Ireland,Forward,West Bromwich Albion,47,€7.00m
6926,Kamil Grosicki,31 Years,"Jun 8, 1988 ",Poland,Forward,West Bromwich Albion,13,€3.00m
6927,Matheus Pereira,23 Years,"May 5, 1996 ",Brazil,Forward,West Bromwich Albion,12,€12.00m
6928,Matt Phillips,29 Years,"Mar 13, 1991 ",Scotland,Forward,West Bromwich Albion,10,€7.00m
6929,Grady Diangana,21 Years,"Apr 19, 1998 ",England,Forward,West Bromwich Albion,29,€5.00m
6930,Jonathan Leko,20 Years,"Apr 24, 1999 ",England,Forward,West Bromwich Albion,20,€1.50m
6931,Kenneth Zohore,26 Years,"Jan 31, 1994 ",Denmark,Forward,West Bromwich Albion,9,€5.00m
6932,Charlie Austin,30 Years,"Jul 5, 1989 ",England,Forward,West Bromwich Albion,15,€4.00m
6933,Hal Robson-Kanu,30 Years,"May 21, 1989 ",Wales,Forward,West Bromwich Albion,4,€3.00m
6934,Illan Meslier,20 Years,"Mar 2, 2000 ",France,Goalkeeper,Leeds United,1,€5.00m
6935,Kiko Casilla,33 Years,"Oct 2, 1986 ",Spain,Goalkeeper,Leeds United,13,€2.50m
6936,Will Huffer,21 Years,"Oct 30, 1998 ",England,Goalkeeper,Leeds United,-,€100k
6937,Elia Caprile,18 Years,"Aug 25, 2001 ",Italy,Goalkeeper,Leeds United,25,€100k
6938,Ben White,22 Years,"Oct 8, 1997 ",England,Defender,Leeds United,5,€7.00m
6939,Liam Cooper,28 Years,"Aug 30, 1991 ",Scotland,Defender,Leeds United,6,€7.00m
6940,Gaetano Berardi,31 Years,"Aug 21, 1988 ",Switzerland,Defender,Leeds United,28,€500k
6941,Ezgjan Alioski,28 Years,"Feb 12, 1992 ",North Macedonia,Defender,Leeds United,10,€4.50m
6942,Stuart Dallas,28 Years,"Apr 19, 1991 ",Northern Ireland,Defender,Leeds United,15,€3.00m
6943,Barry Douglas,30 Years,"Sep 4, 1989 ",Scotland,Defender,Leeds United,3,€2.50m
6944,Leif Davis,20 Years,"Jan 12, 2000 ",England,Defender,Leeds United,40,€100k
6945,Luke Ayling,28 Years,"Aug 25, 1991 ",England,Defender,Leeds United,2,€3.00m
6946,Kalvin Phillips,24 Years,"Dec 2, 1995 ",England,Midfielder,Leeds United,23,€15.00m
6947,Ouasim Bouy,26 Years,"Jun 11, 1993 ",Morocco,Midfielder,Leeds United,-,€400k
6948,Jordan Stevens,20 Years,"Mar 25, 2000 ",England,Midfielder,Leeds United,48,€200k
6949,Adam Forshaw,28 Years,"Oct 8, 1991 ",England,Midfielder,Leeds United,4,€4.00m
6950,Mateusz Klich,29 Years,"Jun 13, 1990 ",Poland,Midfielder,Leeds United,43,€3.50m
6951,Jamie Shackleton,20 Years,"Oct 8, 1999 ",England,Midfielder,Leeds United,46,€2.50m
6952,Mateusz Bogusz,18 Years,"Aug 22, 2001 ",Poland,Midfielder,Leeds United,44,€100k
6953,Pablo Hernández,34 Years,"Apr 11, 1985 ",Spain,Midfielder,Leeds United,19,€1.50m
6954,Jack Harrison,23 Years,"Nov 20, 1996 ",England,Forward,Leeds United,22,€6.50m
6955,Hélder Costa,26 Years,"Jan 12, 1994 ",Portugal,Forward,Leeds United,17,€10.00m
6956,Ian Poveda,20 Years,"Feb 9, 2000 ",England,Forward,Leeds United,7,€750k
6957,Jean-Kévin Augustin,22 Years,"Jun 16, 1997 ",France,Forward,Leeds United,29,€12.00m
6958,Patrick Bamford,26 Years,"Sep 5, 1993 ",England,Forward,Leeds United,9,€8.00m
6959,Tyler Roberts,21 Years,"Jan 12, 1999 ",Wales,Forward,Leeds United,11,€4.00m
6960,Daniel Bentley,26 Years,"Jul 13, 1993 ",England,Goalkeeper,Bristol City,1,€3.50m
6961,Niki Mäenpää,35 Years,"Jan 23, 1985 ",Finland,Goalkeeper,Bristol City,33,€250k
6962,Rene Gilmartin,32 Years,"May 31, 1987 ",Ireland,Goalkeeper,Bristol City,13,€150k
6963,Joe Wollacott,23 Years,"Sep 8, 1996 ",England,Goalkeeper,Bristol City,38,€100k
6964,Filip Benkovic,22 Years,"Jul 13, 1997 ",Croatia,Defender,Bristol City,31,€9.00m
6965,Tomas Kalas,26 Years,"May 15, 1993 ",Czech Republic,Defender,Bristol City,22,€6.00m
6966,Nathan Baker,28 Years,"Apr 23, 1991 ",England,Defender,Bristol City,6,€4.00m
6967,Ashley Williams,35 Years,"Aug 23, 1984 ",Wales,Defender,Bristol City,29,€1.50m
6968,Jay Dasilva,21 Years,"Apr 22, 1998 ",England,Defender,Bristol City,3,€4.50m
6969,Jack Hunt,29 Years,"Dec 6, 1990 ",England,Defender,Bristol City,2,€2.00m
6970,Pedro Pereira,22 Years,"Jan 22, 1998 ",Portugal,Defender,Bristol City,32,€2.00m
6971,Zak Vyner,22 Years,"May 14, 1997 ",England,Defender,Bristol City,26,€500k
6972,Ádám Nagy,24 Years,"Jun 17, 1995 ",Hungary,Midfielder,Bristol City,4,€2.00m
6973,Korey Smith,29 Years,"Jan 31, 1991 ",England,Midfielder,Bristol City,7,€500k
6974,Han-Noah Massengo,18 Years,"Jul 7, 2001 ",France,Midfielder,Bristol City,42,€8.00m
6975,Markus Henriksen,27 Years,"Jul 25, 1992 ",Norway,Midfielder,Bristol City,8,€5.00m
6976,Niclas Eliasson,24 Years,"Dec 7, 1995 ",Sweden,Midfielder,Bristol City,19,€5.00m
6977,Callum O'Dowda,24 Years,"Apr 23, 1995 ",Ireland,Midfielder,Bristol City,11,€2.00m
6978,Tommy Rowe,31 Years,"Sep 24, 1988 ",England,Midfielder,Bristol City,25,€900k
6979,Kasey Palmer,23 Years,"Nov 9, 1996 ",England,Midfielder,Bristol City,45,€2.00m
6980,Andreas Weimann,28 Years,"Aug 5, 1991 ",Austria,Forward,Bristol City,14,€5.00m
6981,Marley Watkins,29 Years,"Oct 17, 1990 ",Wales,Forward,Bristol City,15,€600k
6982,Jamie Paterson,28 Years,"Dec 20, 1991 ",England,Forward,Bristol City,20,€2.00m
6983,Benik Afobe,27 Years,"Feb 12, 1993 ",DR Congo,Forward,Bristol City,40,€8.00m
6984,Famara Diédhiou,27 Years,"Dec 15, 1992 ",Senegal,Forward,Bristol City,9,€7.00m
6985,Nahki Wells,29 Years,"Jun 1, 1990 ",Bermuda,Forward,Bristol City,21,€4.00m
6986,David Raya,24 Years,"Sep 15, 1995 ",Spain,Goalkeeper,Brentford FC,1,€5.00m
6987,Patrik Gunnarsson,19 Years,"Nov 15, 2000 ",Iceland,Goalkeeper,Brentford FC,13,€250k
6988,Luke Daniels,32 Years,"Jan 5, 1988 ",England,Goalkeeper,Brentford FC,28,€250k
6989,Ellery Balcombe,20 Years,"Oct 15, 1999 ",England,Goalkeeper,Brentford FC,25,€200k
6990,Pontus Jansson,29 Years,"Feb 13, 1991 ",Sweden,Defender,Brentford FC,18,€6.00m
6991,Ethan Pinnock,26 Years,"May 29, 1993 ",England,Defender,Brentford FC,5,€3.00m
6992,Julian Jeanvier,28 Years,"Mar 31, 1992 ",Guinea,Defender,Brentford FC,23,€2.50m
6993,Luka Racic,20 Years,"May 8, 1999 ",Denmark,Defender,Brentford FC,32,€300k
6994,Rico Henry,22 Years,"Jul 8, 1997 ",England,Defender,Brentford FC,3,€2.50m
6995,Dominic Thompson,19 Years,"Jul 26, 2000 ",England,Defender,Brentford FC,2,€100k
6996,Henrik Dalsgaard,30 Years,"Jul 27, 1989 ",Denmark,Defender,Brentford FC,22,€2.50m
6997,Mads Roerslev Rasmussen,20 Years,"Jun 24, 1999 ",Denmark,Defender,Brentford FC,35,€500k
6998,Joshua Da Silva,21 Years,"Oct 23, 1998 ",England,Midfielder,Brentford FC,14,€3.00m
6999,Kamohelo Mokotjo,29 Years,"Mar 11, 1991 ",South Africa,Midfielder,Brentford FC,12,€2.00m
7000,Christian Nörgaard,26 Years,"Mar 10, 1994 ",Denmark,Midfielder,Brentford FC,6,€4.00m
7001,Mathias Jensen,24 Years,"Jan 1, 1996 ",Denmark,Midfielder,Brentford FC,8,€4.00m
7002,Jan Zamburek,19 Years,"Feb 13, 2001 ",Czech Republic,Midfielder,Brentford FC,31,€900k
7003,Jaakko Oksanen,19 Years,"Nov 7, 2000 ",Finland,Midfielder,Brentford FC,34,€250k
7004,Shandon Baptiste,21 Years,"Apr 8, 1998 ",Grenada,Midfielder,Brentford FC,26,€200k
7005,Dru Yearwood,20 Years,"Feb 17, 2000 ",England,Midfielder,Brentford FC,4,€100k
7006,Emiliano Marcondes,25 Years,"Mar 9, 1995 ",Denmark,Midfielder,Brentford FC,17,€1.50m
7007,Joel Valencia,25 Years,"Nov 16, 1994 ",Ecuador,Midfielder,Brentford FC,16,€1.00m
7008,Tariqe Fosu,24 Years,"Nov 5, 1995 ",Ghana,Forward,Brentford FC,24,€200k
7009,Saïd Benrahma,24 Years,"Aug 10, 1995 ",Algeria,Forward,Brentford FC,10,€13.00m
7010,Bryan Mbeumo,20 Years,"Aug 7, 1999 ",France,Forward,Brentford FC,19,€9.00m
7011,Sergi Canós,23 Years,"Feb 2, 1997 ",Spain,Forward,Brentford FC,7,€4.00m
7012,Ollie Watkins,24 Years,"Dec 30, 1995 ",England,Forward,Brentford FC,11,€15.00m
7013,Halil Dervisoglu,20 Years,"Dec 8, 1999 ",Turkey,Forward,Brentford FC,21,€2.00m
7014,Nikolaos Karelis,28 Years,"Feb 24, 1992 ",Greece,Forward,Brentford FC,9,€1.00m
7015,Marcus Forss,20 Years,"Jun 18, 1999 ",Finland,Forward,Brentford FC,15,€300k
7016,Aynsley Pears,21 Years,"Apr 23, 1998 ",England,Goalkeeper,Middlesbrough FC,42,€1.00m
7017,Dejan Stojanovic,26 Years,"Jul 19, 1993 ",Austria,Goalkeeper,Middlesbrough FC,30,€900k
7018,Tomás Mejías,31 Years,"Jan 30, 1989 ",Spain,Goalkeeper,Middlesbrough FC,1,€500k
7019,Dael Fry,22 Years,"Aug 30, 1997 ",England,Defender,Middlesbrough FC,6,€7.00m
7020,Daniel Ayala,29 Years,"Nov 7, 1990 ",Spain,Defender,Middlesbrough FC,4,€4.00m
7021,Harold Moukoudi,22 Years,"Nov 27, 1997 ",Cameroon,Defender,Middlesbrough FC,18,€4.00m
7022,Ryan Shotton,31 Years,"Sep 30, 1988 ",England,Defender,Middlesbrough FC,5,€3.00m
7023,Hayden Coulson,21 Years,"Jun 17, 1998 ",England,Defender,Middlesbrough FC,33,€2.00m
7024,George Friend,32 Years,"Oct 19, 1987 ",England,Defender,Middlesbrough FC,3,€750k
7025,Djed Spence,19 Years,"Aug 9, 2000 ",England,Defender,Middlesbrough FC,29,€2.00m
7026,Anfernee Dijksteel,23 Years,"Oct 27, 1996 ",Netherlands,Defender,Middlesbrough FC,2,€1.50m
7027,Paddy McNair,24 Years,"Apr 27, 1995 ",Northern Ireland,Midfielder,Middlesbrough FC,17,€2.50m
7028,George Saville,26 Years,"Jun 1, 1993 ",Northern Ireland,Midfielder,Middlesbrough FC,22,€5.00m
7029,Jonathan Howson,31 Years,"May 21, 1988 ",England,Midfielder,Middlesbrough FC,16,€3.50m
7030,Lewis Wing,24 Years,"May 23, 1995 ",England,Midfielder,Middlesbrough FC,26,€3.50m
7031,Adam Clayton,31 Years,"Jan 14, 1989 ",England,Midfielder,Middlesbrough FC,8,€2.50m
7032,Marcus Tavernier,21 Years,"Mar 22, 1999 ",England,Midfielder,Middlesbrough FC,7,€2.00m
7033,Marvin Johnson,29 Years,"Dec 1, 1990 ",England,Midfielder,Middlesbrough FC,21,€2.00m
7034,Ravel Morrison,27 Years,"Feb 2, 1993 ",Jamaica,Midfielder,Middlesbrough FC,15,€750k
7035,Patrick Roberts,23 Years,"Feb 5, 1997 ",England,Forward,Middlesbrough FC,19,€3.50m
7036,Britt Assombalonga,27 Years,"Dec 6, 1992 ",DR Congo,Forward,Middlesbrough FC,9,€7.00m
7037,Ashley Fletcher,24 Years,"Oct 2, 1995 ",England,Forward,Middlesbrough FC,11,€5.00m
7038,Lukas Nmecha,21 Years,"Dec 14, 1998 ",Germany,Forward,Middlesbrough FC,20,€4.00m
7039,Rudy Gestede,31 Years,"Oct 10, 1988 ",Benin,Forward,Middlesbrough FC,14,€1.00m
7040,Brice Samba,25 Years,"Apr 25, 1994 ",France,Goalkeeper,Nottingham Forest,30,€4.00m
7041,Arijanet Muric,21 Years,"Nov 7, 1998 ",Kosovo,Goalkeeper,Nottingham Forest,49,€2.00m
7042,Jordan Smith,25 Years,"Dec 8, 1994 ",England,Goalkeeper,Nottingham Forest,12,€150k
7043,Joe Worrall,23 Years,"Jan 10, 1997 ",England,Defender,Nottingham Forest,4,€7.00m
7044,Tobias Figueiredo,26 Years,"Feb 2, 1994 ",Portugal,Defender,Nottingham Forest,3,€2.00m
7045,Yohan Benalouane,33 Years,"Mar 28, 1987 ",Tunisia,Defender,Nottingham Forest,29,€500k
7046,Michael Hefele,29 Years,"Sep 1, 1990 ",Germany,Defender,Nottingham Forest,44,€500k
7047,Michael Dawson,36 Years,"Nov 18, 1983 ",England,Defender,Nottingham Forest,20,€300k
7048,Yuri Ribeiro,23 Years,"Jan 24, 1997 ",Portugal,Defender,Nottingham Forest,2,€3.00m
7049,Gaëtan Bong,31 Years,"Apr 25, 1988 ",Cameroon,Defender,Nottingham Forest,6,€1.00m
7050,Carl Jenkinson,28 Years,"Feb 8, 1992 ",England,Defender,Nottingham Forest,16,€1.50m
7051,Tendayi Darikwa,28 Years,"Dec 13, 1991 ",Zimbabwe,Defender,Nottingham Forest,27,€750k
7052,Alfa Semedo,22 Years,"Aug 30, 1997 ",Guinea-Bissau,Midfielder,Nottingham Forest,17,€2.00m
7053,Samba Sow,30 Years,"Apr 29, 1989 ",Mali,Midfielder,Nottingham Forest,21,€2.00m
7054,Ryan Yates,22 Years,"Nov 21, 1997 ",England,Midfielder,Nottingham Forest,22,€1.00m
7055,John Bostock,28 Years,"Jan 15, 1992 ",Trinidad and Tobago,Midfielder,Nottingham Forest,13,€750k
7056,Ben Watson,34 Years,"Jul 9, 1985 ",England,Midfielder,Nottingham Forest,8,€250k
7057,Matty Cash,22 Years,"Aug 7, 1997 ",England,Midfielder,Nottingham Forest,11,€6.00m
7058,João Carvalho,23 Years,"Mar 9, 1997 ",Portugal,Midfielder,Nottingham Forest,10,€5.00m
7059,Tiago Silva,26 Years,"Jun 2, 1993 ",Portugal,Midfielder,Nottingham Forest,28,€2.00m
7060,Adama Diakhaby,23 Years,"Jul 5, 1996 ",France,Forward,Nottingham Forest,14,€6.00m
7061,Sammy Ameobi,27 Years,"May 1, 1992 ",England,Forward,Nottingham Forest,19,€3.00m
7062,Joe Lolley,27 Years,"Aug 25, 1992 ",England,Forward,Nottingham Forest,23,€8.00m
7063,Zach Clough,25 Years,"Mar 8, 1995 ",England,Forward,Nottingham Forest,39,€1.00m
7064,Lewis Grabban,32 Years,"Jan 12, 1988 ",Jamaica,Forward,Nottingham Forest,7,€4.50m
7065,Nuno Da Costa,29 Years,"Feb 10, 1991 ",Cape Verde,Forward,Nottingham Forest,9,€2.00m
7066,Tyler Walker,23 Years,"Oct 7, 1996 ",England,Forward,Nottingham Forest,34,€1.00m
7067,Virgil Gomis,20 Years,"Apr 16, 1999 ",France,Forward,Nottingham Forest,-,€150k
7068,Jack Butland,27 Years,"Mar 10, 1993 ",England,Goalkeeper,Stoke City,1,€8.00m
7069,Adam Davies,27 Years,"Jul 17, 1992 ",Wales,Goalkeeper,Stoke City,16,€400k
7070,Adam Federici,35 Years,"Jan 31, 1985 ",Australia,Goalkeeper,Stoke City,32,€250k
7071,Bruno Martins Indi,28 Years,"Feb 8, 1992 ",Netherlands,Defender,Stoke City,15,€4.50m
7072,Danny Batth,29 Years,"Sep 21, 1990 ",England,Defender,Stoke City,6,€4.00m
7073,James Chester,31 Years,"Jan 23, 1989 ",Wales,Defender,Stoke City,12,€3.00m
7074,Ryan Shawcross,32 Years,"Oct 4, 1987 ",England,Defender,Stoke City,17,€2.50m
7075,Liam Lindsay,24 Years,"Oct 12, 1995 ",Scotland,Defender,Stoke City,5,€2.20m
7076,Nathan Collins,18 Years,"Apr 30, 2001 ",Ireland,Defender,Stoke City,37,€900k
7077,Josh Tymon,20 Years,"May 22, 1999 ",England,Defender,Stoke City,35,€1.00m
7078,Stephen Ward,34 Years,"Aug 20, 1985 ",Ireland,Defender,Stoke City,3,€900k
7079,Tom Edwards,21 Years,"Jan 22, 1999 ",England,Defender,Stoke City,2,€2.00m
7080,Tommy Smith,27 Years,"Apr 14, 1992 ",England,Defender,Stoke City,14,€2.00m
7081,Joe Allen,30 Years,"Mar 14, 1990 ",Wales,Midfielder,Stoke City,4,€6.00m
7082,Jordan Cousins,26 Years,"Mar 6, 1994 ",England,Midfielder,Stoke City,24,€1.00m
7083,Tashan Oakley-Boothe,20 Years,"Feb 14, 2000 ",England,Midfielder,Stoke City,20,€250k
7084,Jordan Thompson,23 Years,"Jan 3, 1997 ",Northern Ireland,Midfielder,Stoke City,34,€100k
7085,Sam Clucas,29 Years,"Sep 25, 1990 ",England,Midfielder,Stoke City,22,€5.00m
7086,James McClean,30 Years,"Apr 22, 1989 ",Ireland,Midfielder,Stoke City,11,€4.00m
7087,Nick Powell,26 Years,"Mar 23, 1994 ",England,Midfielder,Stoke City,25,€3.50m
7088,Tom Ince,28 Years,"Jan 30, 1992 ",England,Forward,Stoke City,7,€6.00m
7089,Thibaud Verlinden,20 Years,"Jul 9, 1999 ",Belgium,Forward,Stoke City,23,€250k
7090,Tyrese Campbell,20 Years,"Dec 28, 1999 ",England,Forward,Stoke City,26,€3.50m
7091,Sam Vokes,30 Years,"Oct 21, 1989 ",Wales,Forward,Stoke City,9,€3.00m
7092,Mame Diouf,32 Years,"Dec 16, 1987 ",Senegal,Forward,Stoke City,18,€1.50m
7093,Lee Gregory,31 Years,"Aug 26, 1988 ",England,Forward,Stoke City,19,€1.00m
7094,Kamil Grabara,21 Years,"Jan 8, 1999 ",Poland,Goalkeeper,Huddersfield Town,1,€5.00m
7095,Jonas Lössl,31 Years,"Feb 1, 1989 ",Denmark,Goalkeeper,Huddersfield Town,49,€4.00m
7096,Joel Coleman,24 Years,"Sep 26, 1995 ",England,Goalkeeper,Huddersfield Town,13,€350k
7097,Christopher Schindler,29 Years,"Apr 29, 1990 ",Germany,Defender,Huddersfield Town,26,€5.00m
7098,Jon Gorenc-Stankovic,24 Years,"Jan 14, 1996 ",Slovenia,Defender,Huddersfield Town,27,€1.50m
7099,Tommy Elphick,32 Years,"Sep 7, 1987 ",England,Defender,Huddersfield Town,4,€1.00m
7100,Richard Stearman,32 Years,"Aug 19, 1987 ",England,Defender,Huddersfield Town,12,€1.00m
7101,Harry Toffolo,24 Years,"Aug 19, 1995 ",England,Defender,Huddersfield Town,3,€1.00m
7102,Jaden Brown,21 Years,"Jan 24, 1999 ",England,Defender,Huddersfield Town,28,€750k
7103,Danny Simpson,33 Years,"Jan 4, 1987 ",England,Defender,Huddersfield Town,17,€1.00m
7104,Herbert Bockhorn,25 Years,"Jan 31, 1995 ",Uganda,Defender,Huddersfield Town,14,€250k
7105,Trevoh Chalobah,20 Years,"Jul 5, 1999 ",England,Midfielder,Huddersfield Town,8,€3.00m
7106,Juninho Bacuna,22 Years,"Aug 7, 1997 ",Curacao,Midfielder,Huddersfield Town,7,€4.50m
7107,Emile Smith Rowe,19 Years,"Jul 28, 2000 ",England,Midfielder,Huddersfield Town,32,€3.00m
7108,Jonathan Hogg,31 Years,"Dec 6, 1988 ",England,Midfielder,Huddersfield Town,6,€2.50m
7109,Andy King,31 Years,"Oct 29, 1988 ",Wales,Midfielder,Huddersfield Town,29,€1.50m
